0.022015,3.1392,0.00055578,370.18,0.97268,-10,189.81,16.507,1.348,1.6495,1
0.093699,3.1072,0.0052384,395.86,0.88924,44,220.58,15.444,1.4169,1.9905,1
-0.0051868,3.1297,0.0062806,375.97,1.0107,16,185.9,12.435,1.4973,1.4321,1
9.5075e-05,3.1267,0.011951,429.18,1.0076,0,213.83,16.062,1.4772,2.4757,1
-0.079055,3.1354,-0.00059989,397.6,1.1058,-30,178.25,11.535,1.4863,0.73927,1
-0.042532,3.1328,-0.0017777,390.14,1.0546,-26,183.65,8.5929,1.6789,0.5484,1
0.0234,3.1311,0.0012997,372.17,0.97135,-4,191.15,16.466,1.3695,0.37032,1
0.086323,3.1243,-0.007205,405.05,0.89113,40,223.33,14.662,1.5024,0.33721,1
0.013717,3.1352,-0.0041737,376.56,0.98004,22,190.92,10.055,1.5219,1.2526,1
0.017996,3.1266,0.011298,427.11,0.98433,-8,217.27,17.961,1.4333,1.8651,1
-0.086444,3.1319,-0.0046936,386.79,1.1135,-46,171,16.384,1.486,0.41621,1
-0.00021575,3.1392,-0.00083471,386.16,0.99974,-8,192.24,11.493,1.5717,1.3231,1
0.022948,3.1348,-0.0014311,373.46,0.97025,-4,191.68,15.852,1.4848,2.867,1
0.081577,3.1389,0.00040009,414.91,0.90141,42,227.06,15.852,1.5423,1.0155,1
0.073492,3.1139,0.020473,380.25,0.92192,38,207.72,12.261,1.646,1.7632,1
-0.053673,3.139,-0.00061136,428.6,1.0704,-24,200.1,14.939,1.5112,1.2771,1
-0.088573,3.1239,-0.0075321,386.39,1.1148,-56,170.27,14.126,1.5496,0.39516,1
-0.00154,3.1252,0.012165,383.13,1.0098,-8,190.39,13.522,1.5818,2.2896,1
-0.014379,3.1334,-0.0081489,375.35,1.0132,-8,183.3,10.668,1.4441,1.9949,1
0.11214,3.13,-0.0080401,416.67,0.86181,56,235.59,15.639,1.67,2.2556,1
0.063886,3.1369,0.0014981,388.9,0.92261,44,209.63,9.9702,1.5897,1.9363,1
-0.093361,3.1265,-0.0095832,423.73,1.1201,-56,187.75,14.855,1.4909,1.2116,1
-0.0736,3.135,-0.00085017,375.34,1.0979,-70,168.48,18.546,1.5717,0.090335,1
-0.0037004,3.1141,-0.00894,376.99,0.99901,-8,186.79,10.429,1.4716,1.0376,1
-0.055765,3.1326,-0.0041269,376.03,1.071,-22,173.29,13.342,1.4688,2.8463,1
0.034052,3.1342,0.001431,420.44,0.95834,34,217.95,14.083,1.652,1.8761,1
0.017149,3.1091,-0.015859,396.62,0.96825,14,201.82,16.011,1.5195,1.7644,1
-0.059566,3.1345,-0.00081195,408.64,1.0785,-40,188.65,13.165,1.4914,1.7175,1
-0.073149,3.1308,0.00090076,365.82,1.0987,-56,163.84,17.98,1.4298,2.7981,1
-0.0043113,3.1372,-0.0033221,380.21,1.0034,16,188.24,12.758,1.4831,0.21102,1
-0.056311,3.1352,-0.0028443,374.31,1.0726,-8,172.29,15.449,1.4107,0.10358,1
0.01668,3.1392,0.0017602,428.87,0.98007,34,217.82,14.253,1.5092,0.26285,1
0.034725,3.1361,0.0048682,400.83,0.95965,26,208.31,14.4,1.4974,3.1039,1
-0.04001,3.1311,0.0083258,404.39,1.0581,-24,191.41,15.032,1.5348,1.2859,1
-0.058794,3.0993,-0.018338,363.95,1.0662,-44,166.51,17.319,1.439,2.291,1
0.048652,3.1214,-0.0065026,386.11,0.93563,38,204.44,14.036,1.4032,3.0262,1
0.0076498,3.1224,-0.0056373,372.67,0.98668,24,187.46,12.248,1.5092,1.5561,1
0.085975,3.1283,-0.0057757,439.91,0.89248,50,240.66,14.171,1.5062,0.01539,1
0.054947,3.1314,0.0056888,406.23,0.93559,32,216.06,10.625,1.5474,1.3243,1
-0.031421,3.1178,-0.013642,402.06,1.0321,-26,192.4,15.955,1.5547,1.0141,1
-0.024091,3.1288,-0.0087091,364.73,1.0256,-18,175.56,16.014,1.3266,0.56092,1
0.074873,3.1229,0.017315,392.16,0.91864,36,214.01,14.099,1.5279,2.3159,1
0.028893,3.1391,-0.00064464,371.26,0.96345,24,192.07,12.533,1.4576,2.5356,1
0.022364,3.1267,0.014131,440.2,0.98062,2,224.91,17.601,1.4928,2.1636,1
-0.045214,3.1378,-4.2805e-05,406.74,1.0593,-10,191.28,12.255,1.5211,1.0898,1
-0.0056806,3.1264,0.0010381,397.54,1.008,-14,196.57,12.653,1.5312,3.1388,1
